frame,seconds,phase,engine_frame_ms,COO.ZoneRenderer.LateUpdate,COO.Input.Update,Main Thread,GC Allocated In Frame,Draw Calls Count,Triangles Count,SetPass Calls Count,Render Textures Count,Render Textures Bytes,Texture Memory,GPU Frame Time
62,0.193095,idle,3.007122,805666,10708,2996042,29289,221,652413,51,45,197105184,303021798,1501125
63,0.196324,idle,3.355917,908209,11209,3253917,29417,221,652413,51,45,197105184,303021798,1564375
64,0.199288,idle,2.854124,830792,10459,2950791,29353,221,652413,51,45,197105184,303021798,1516125
65,0.202623,idle,3.316957,852042,14084,3263375,29289,221,652413,51,45,197105184,303021798,1509249
66,0.205962,idle,3.476545,852875,11917,3365000,29417,221,652413,51,45,197105184,303021798,1526166
67,0.209774,idle,3.702877,832958,10709,3895791,39729,221,652413,51,45,197105184,303021798,1706499
68,0.213613,idle,3.887833,911500,11541,3839250,37525,221,652413,51,45,197105184,303021798,1515874
69,0.216564,idle,2.878954,864375,11583,2875250,29417,221,652413,51,45,197105184,303021798,1524875
70,0.219668,idle,3.049001,904541,13333,3034375,29353,221,652413,51,45,197105184,303021798,1127416
71,0.223113,idle,3.510417,915708,21375,3474250,29289,221,652413,51,45,197105184,303021798,1589916
72,0.226418,idle,3.361331,793458,12291,3309584,29417,221,652413,51,45,197105184,303021798,2357999
73,0.229790,idle,3.426715,827583,10417,3419917,29741,221,652413,51,45,197105184,303021798,1584791
74,0.232879,idle,2.981413,807709,11875,3061958,29289,222,652415,51,45,197105184,303021798,1534125
75,0.235978,idle,3.166086,872333,13709,3143459,29417,222,652415,51,45,197105184,303021798,1476166
76,0.239033,idle,3.131080,837667,12458,3028041,29353,222,652415,51,45,197105184,303021798,1526125
77,0.241801,idle,2.661458,787167,9708,2860250,29289,222,652415,51,45,197105184,303021798,1737583
78,0.244586,idle,2.835374,804000,15458,2736833,29417,222,652415,51,45,197105184,303021798,1530874
79,0.247456,idle,2.947917,804125,18125,2985583,29353,222,652415,51,45,197105184,303021798,1527250
80,0.250057,idle,2.555959,758625,13250,2561916,29289,222,652415,51,45,197105184,303021798,1701666
81,0.252980,idle,2.904833,839500,10541,2814500,29417,222,652415,51,45,197105184,303021798,1557125
82,0.255870,idle,2.916837,801375,14291,3010250,29353,222,652415,51,45,197105184,303021798,1553833
83,0.258398,idle,2.540001,785084,13750,2663667,29289,222,652415,51,45,197105184,303021798,1695958
84,0.261173,idle,2.692496,794083,12167,2498625,29417,222,652415,51,45,197105184,303021798,1547458
85,0.264042,idle,2.889002,797458,10125,2947084,29353,222,652415,51,45,197105184,303021798,1544416
86,0.266493,idle,2.525205,743875,15333,2640708,29289,222,652415,51,45,197105184,303021798,1654750
87,0.269199,idle,2.652877,809625,9708,2533375,29417,222,652415,51,45,197105184,303021798,1538083
