phase,unityFrame,seconds,EnvSprites_ns,ZoneRenderer_ns,InputIdle_ns,MainThread_ns,GC_bytes
0,17,0.8027922089999997,0,0,0,0,0
0,18,0.81814208400000155,0,71250,42,16473250,424183
0,19,0.83489104200000241,0,74250,42,16689541,446151
0,20,0.85136266700000007,0,78083,42,16500250,459913
0,21,0.86803191699999971,0,73250,42,16696834,459965
0,22,0.88530029200000016,0,77500,0,16329500,481761
0,23,0.90127162499999969,0,103958,41,16845042,487983
0,24,0.91802212500000024,0,75125,41,16696333,501199
0,25,0.934717250000002,0,74208,41,16611083,473675
0,26,0.950960417000001,0,84834,0,16266416,432389
0,27,0.96815924999999936,0,79000,41,17097416,432389
0,28,0.985115792000002,0,83209,0,16996334,459913
0,29,1.0013300420000029,0,81791,83,16385917,460113
0,30,1.0182970840000003,0,74000,83,16795334,473675
0,31,1.0348257919999995,0,88167,41,16661125,488791
0,32,1.0512883750000022,0,77000,41,16495375,542485
0,33,1.0679119999999998,0,68709,41,16599084,501251
0,34,1.0846102090000009,0,73417,167,16690584,518059
0,35,1.1013203340000004,0,66959,0,16808458,528923
0,36,1.118214334000001,0,66333,0,16781167,501199
0,37,1.1349821250000005,0,68875,42,16813625,528723
0,38,1.1515991250000006,0,77458,42,16600667,528723
0,39,1.1678875420000026,0,67250,42,16269417,528723
0,40,1.1848859590000025,0,70083,41,16590833,523047
0,41,1.2013798750000007,0,73541,42,16911083,529429
0,42,1.2178842500000009,0,68166,167,16571084,542485
0,43,1.2347241669999995,0,63458,42,16804417,556247
0,44,1.2512681250000028,0,63875,125,16598333,556247
0,45,1.2678769590000023,0,60417,0,16590583,556299
0,46,1.2848626250000024,0,64417,83,16799833,556247
0,47,1.3013777090000005,0,69875,84,16590958,528923
0,48,1.3182947499999997,0,75458,0,16921125,556247
0,49,1.334779417,0,75417,41,16193417,526145
0,50,1.3512273340000007,0,72125,42,16763708,535753
0,51,1.3681502089999995,0,73959,41,16909625,556247
0,52,1.3847097500000025,0,68333,42,16482166,528723
0,53,1.4012460000000004,0,65333,42,16592791,528923
0,54,1.4178813340000005,0,68042,42,16688084,556247
0,55,1.4347515420000008,0,61042,42,16893708,570009
0,56,1.4513557500000012,0,56792,42,16600917,556247
0,57,1.4679808340000022,0,57125,42,16594875,556299
0,58,1.485147584,0,57958,42,16689083,550571
0,59,1.5014150840000013,0,75250,208,16508833,501745
0,60,1.5178776670000005,0,109042,0,16610041,528723
0,61,1.5346128750000005,0,71083,291,16667458,542485
