phase,unityFrame,seconds,EnvSprites_ns,ZoneRenderer_ns,InputIdle_ns,MainThread_ns,GC_bytes
0,17,0.85666575000000122,0,0,0,0,0
0,18,0.87239625000000132,0,75375,42,16770250,462371
0,19,0.88919475000000148,0,82708,0,16795666,528723
0,20,0.9058077080000011,0,75042,41,16590084,514961
0,21,0.92279875000000189,0,71834,42,16797792,460165
0,22,0.93925116700000189,0,94959,292,16681208,475029
0,23,0.95595487500000331,0,76291,42,16606333,501199
0,24,0.9727102080000023,0,73792,125,16786125,516105
0,25,0.9890910830000017,0,72500,0,16488000,432389
0,26,1.0059112500000005,0,72250,0,16725833,542485
0,27,1.0223931670000006,0,77667,84,16561500,528923
0,28,1.0391028750000011,0,67500,42,16699750,542485
0,29,1.0555550420000017,0,73459,0,16404708,528723
0,30,1.072308458000002,0,69083,42,16791125,528723
0,31,1.089140417000003,0,71542,42,16775792,530077
0,32,1.1056703750000025,0,65167,42,16505125,531821
0,33,1.1223830830000026,0,72292,41,16799916,542737
0,34,1.1391472080000007,0,73208,41,16788333,556247
0,35,1.1555427080000022,0,61458,0,16396750,542485
0,36,1.1721965000000019,0,66792,41,16696416,556247
0,37,1.1891077080000017,0,60042,0,16887875,556247
0,38,1.2058666250000023,0,62333,167,16702125,556247
0,39,1.222368417000002,0,63959,84,16496833,542845
0,40,1.2391010830000013,0,67250,0,16723708,543839
0,41,1.2556255420000006,0,78666,0,16458458,542485
0,42,1.2725547920000011,0,70042,0,16919875,542485
0,43,1.2890730420000018,0,68750,42,16568375,542485
0,44,1.3059152920000017,0,67958,41,16804250,542485
0,45,1.3224368750000011,0,66625,41,16587167,542737
0,46,1.3391358750000002,0,61667,41,16696834,556247
0,47,1.3558672080000029,0,65375,42,16699958,559345
0,48,1.3725995830000031,0,64875,41,16686792,542485
0,49,1.3891292080000035,0,68500,125,16503417,530077
0,50,1.4056142920000028,0,71125,42,16494791,542485
0,51,1.42220425,0,71291,41,16690209,542685
0,52,1.439026958000003,0,63166,0,16797250,556247
0,53,1.4558878750000019,0,63792,42,16796250,556247
0,54,1.4722600830000019,0,68042,42,16396459,542485
0,55,1.4889180420000017,0,66875,42,16590958,542485
0,56,1.5059189580000023,0,75917,0,16997292,556247
0,57,1.5226910420000017,0,64541,41,16796208,528975
0,58,1.5390252920000016,0,65250,84,16279667,530077
0,59,1.5555926250000027,0,76417,0,16602834,542485
0,60,1.5725135420000029,0,69875,0,16901292,556247
0,61,1.5892903750000009,0,68667,42,16685166,542485
0,62,1.6056112920000025,0,75917,83,16388917,531821
0,63,1.6253579580000022,0,66416,0,16900667,556447
0,64,1.639940333000002,0,64625,0,17290042,129625
0,65,1.6531297500000015,0,82375,0,12950708,60815
0,66,1.6722226250000034,0,81042,41,19452834,597533
0,67,1.6890599580000014,0,74958,42,16762125,543839
0,68,1.7059004170000023,0,73458,0,16903541,542485
0,69,1.7222899170000012,0,70000,41,16495334,542737
0,70,1.7388209170000017,0,57041,83,16496750,542485
0,71,1.7557718330000007,0,64084,0,16894375,556247
0,72,1.7723544580000024,0,69167,125,16593584,542485
0,73,1.7889986670000013,0,69708,0,16601709,542485
0,74,1.8058735420000005,0,69042,83,16789500,542485
0,75,1.8224110830000022,0,73875,0,16605292,542685
0,76,1.8389246250000006,0,77583,125,16197583,523047
0,77,1.8555419580000034,0,66542,42,16979959,556593
0,78,1.8723129170000021,0,62792,0,16795208,559345
0,79,1.8890250830000035,0,64791,0,16599167,542485
0,80,1.905905875000002,0,72000,42,16798584,542485
0,81,1.9224155420000031,0,80584,41,16589042,528975
0,82,1.9391851250000016,0,68459,0,16790041,556247
0,83,1.955808667000003,0,63542,41,16688583,556247
0,84,1.9721696670000028,0,58709,84,16304375,542485
0,85,1.9892295000000004,0,64208,41,16690000,550571
0,86,2.0058032920000031,0,67958,41,16807500,549515
0,87,2.0225186670000035,0,76000,42,16792958,542685
0,88,2.0392367500000006,0,79500,42,16691208,542485
0,89,2.0555712080000035,0,69042,0,16389291,542485
0,90,2.0723803750000016,0,68291,42,16799500,556247
0,91,2.0889772080000029,0,66791,42,16595458,542485
0,92,2.1056395830000021,0,74792,0,16597959,528723
0,93,2.1222986250000027,0,69334,0,16598625,518259
0,94,2.1394364170000024,0,71625,42,16887000,523099
0,95,2.1559677500000021,0,75375,0,16801916,425657
0,96,2.1733420420000016,0,71292,41,17291292,363579
0,97,2.1890302920000018,0,76209,42,15695209,322293
0,98,2.2051415830000032,0,75125,83,16096458,336055
0,99,2.223357625000002,0,71125,41,18092417,405065
0,100,2.2392771670000009,0,76500,41,15983750,391103
0,101,2.2556425420000004,0,80875,42,16498500,391103
0,102,2.2724870830000015,0,69834,42,16798416,391103
0,103,2.2921079170000027,0,76167,42,18085583,385427
0,104,2.3062231250000025,0,138834,83,15404250,411895
0,105,2.3223962500000006,0,96792,125,16370417,487637
0,106,2.3390631250000027,0,80834,41,16687250,528775
0,107,2.3557480420000019,0,88958,0,16694166,514961
0,108,2.3722279580000034,0,76542,42,16498167,487597
0,109,2.389099875000003,0,76166,458,16799000,518059
0,110,2.4057935000000015,0,83291,125,16695084,514961
0,111,2.4226832500000022,0,71917,42,16885542,542685
0,112,2.4396681670000007,0,71292,42,16693750,522957
0,113,2.4560237920000034,0,76791,42,16594541,480795
0,114,2.4725284580000029,0,79042,41,16601667,528723
0,115,2.4892204170000021,0,74000,84,16685000,542485
0,116,2.5059252500000007,0,74875,0,16701667,528723
0,117,2.5226688750000008,0,64250,166,16710250,542685
0,118,2.5389871670000019,0,81542,41,16370667,515013
0,119,2.5557651670000006,0,67625,42,16700916,542485
0,120,2.5721859170000023,0,71625,42,16496500,528723
0,121,2.5897434580000009,0,66333,42,17295000,564243
0,122,2.6055828750000032,0,75958,42,16095750,522081
0,123,2.622176833000001,0,64792,84,16598083,542685
0,124,2.6388635830000027,0,68375,0,16690167,559345
0,125,2.6559226250000023,0,64750,42,16994458,556247
0,126,2.6724007920000012,0,73917,84,16491459,542485
0,127,2.689004875000002,0,73084,0,16593750,542485
0,128,2.705861833,0,74417,83,16797667,556247
0,129,2.722444792000001,0,71875,84,16694000,542685
0,130,2.7398971670000023,0,70833,41,17096000,564295
0,131,2.7558818330000037,0,77000,41,16296334,529159
0,132,2.7723867500000026,0,73375,42,16403500,528723
