frame,seconds,phase,engine_frame_ms,COO.ZoneRenderer.LateUpdate,COO.Input.Update,Main Thread,GC Allocated In Frame,Draw Calls Count,Triangles Count,SetPass Calls Count,Render Textures Count,Render Textures Bytes,Texture Memory,GPU Frame Time
62,0.204022,idle,3.176708,893000,16541,3119625,29357,215,583703,60,45,197105184,284262122,1388333
63,0.206981,idle,2.829875,846417,15167,2909083,29293,215,583703,60,45,197105184,284262122,1390375
64,0.210319,idle,3.439541,871583,16333,3164125,29421,215,583703,60,45,197105184,284262122,1342249
65,0.213406,idle,3.080499,878834,12458,3241375,29357,215,583703,60,45,197105184,284262122,1400041
66,0.216413,idle,3.059042,860667,13416,3064833,29293,215,583703,60,45,197105184,284262122,1555374
67,0.219477,idle,3.076998,819500,15250,3058125,29421,215,583703,60,45,197105184,284262122,1398916
68,0.222329,idle,2.852750,815792,10250,2886167,29357,215,583703,60,45,197105184,284262122,1395791
69,0.225528,idle,3.029457,813958,15333,3032125,29293,215,583703,60,45,197105184,284262122,1439916
70,0.228532,idle,3.151672,873208,10584,3099542,29421,215,583703,60,45,197105184,284262122,1373666
71,0.231413,idle,2.870706,821833,11500,2936167,29357,215,583703,60,45,197105184,284262122,1398999
72,0.234357,idle,2.904705,840292,16667,2850875,29293,215,583703,60,45,197105184,284262122,1361000
73,0.237417,idle,3.133333,869792,15583,3086375,29421,215,583703,60,45,197105184,284262122,1387916
74,0.240479,idle,3.009630,843583,11000,3093083,29357,215,583703,60,45,197105184,284262122,1599291
75,0.243891,idle,3.389541,839000,19834,3225416,29293,215,583703,60,45,197105184,284262122,1405208
76,0.247307,idle,3.431455,893500,11167,3415250,29421,215,583703,60,45,197105184,284262122,1390499
77,0.250503,idle,3.169374,805291,10292,3255708,29357,215,583703,60,45,197105184,284262122,1578125
78,0.253529,idle,3.097378,908625,12292,3105208,29345,215,583703,60,45,197105184,284262122,1398041
79,0.256305,idle,2.805789,816625,10709,2838541,29421,215,583703,60,45,197105184,284262122,1399125
80,0.259407,idle,3.085417,792833,8750,2919958,29357,215,583703,60,45,197105184,284262122,1368708
81,0.262694,idle,3.202253,829500,10667,3316042,29293,215,583703,60,45,197105184,284262122,1406499
82,0.265790,idle,3.060126,831209,13292,3061917,29809,215,583703,60,45,197105184,284262122,1569791
83,0.269261,idle,3.468452,808792,15042,3326000,29357,216,583705,60,45,197105184,284262122,1404750
84,0.272666,idle,3.507377,917500,14208,3509375,29293,216,583705,60,45,197105184,284262122,1396791
85,0.275751,idle,3.027459,835500,12625,3172167,29421,216,583705,60,45,197105184,284262122,1545958
86,0.278955,idle,3.221669,873250,10459,3145625,29357,216,583705,60,45,197105184,284262122,1430291
87,0.282410,idle,3.311749,871250,13917,3293458,29293,216,583705,60,45,197105184,284262122,1398083
88,0.287936,idle,4.692538,973000,14208,4275792,29421,216,583705,60,45,197105184,284262122,1437708
89,0.291629,idle,4.511381,1328875,62792,4960334,29357,216,583705,60,45,197105184,284262122,1397999
90,0.295375,idle,3.910495,937500,18000,3822541,29293,216,583705,60,45,197105184,284262122,1584375
91,0.298528,idle,3.163209,891000,11792,3173792,29421,216,583705,60,45,197105184,284262122,2739749
92,0.301862,idle,3.319877,895208,10333,3301583,29357,216,583705,60,45,197105184,284262122,1427708
93,0.305028,idle,3.079457,864792,10458,3185708,29293,216,583705,60,45,197105184,284262122,1364125
94,0.308264,idle,3.334665,854209,11250,3266750,29421,216,583705,60,45,197105184,284262122,1559625
