frame,seconds,phase,engine_frame_ms,COO.ZoneRenderer.LateUpdate,COO.Input.Update,Main Thread,GC Allocated In Frame,Draw Calls Count,Triangles Count,SetPass Calls Count,Render Textures Count,Render Textures Bytes,Texture Memory,GPU Frame Time
62,0.216774,idle,3.483043,851834,11917,3477084,29441,230,669679,51,45,197105184,328738226,1735500
63,0.220429,idle,3.407710,893667,12000,3460708,29377,230,669679,51,45,197105184,328738226,1641958
64,0.224217,idle,4.018374,990542,14875,3846542,29313,230,669679,51,45,197105184,328738226,1590500
65,0.227468,idle,3.322456,903458,13708,3424709,29441,230,669679,51,45,197105184,328738226,1599500
66,0.230908,idle,3.105088,863083,10417,3138833,29377,230,669679,51,45,197105184,328738226,1853875
67,0.234586,idle,3.925120,1075666,18500,3840291,29313,230,669679,51,45,197105184,328738226,1671041
68,0.238260,idle,3.681583,912000,16250,3722292,29441,230,669679,51,45,197105184,328738226,1645750
69,0.241835,idle,3.538294,918791,11000,3514833,29377,230,669679,51,45,197105184,328738226,2007000
70,0.245783,idle,3.861040,905041,12708,3749458,29313,229,669677,51,45,197105184,328738226,1661291
71,0.249459,idle,3.853543,1017083,16250,3979958,29441,229,669677,51,45,197105184,328738226,1610958
72,0.252639,idle,3.094374,880291,11166,3148209,29377,229,669677,51,45,197105184,328738226,1608374
73,0.256236,idle,3.596046,921250,14417,3517291,29313,229,669677,51,45,197105184,328738226,1872083
74,0.259668,idle,3.461997,944333,14416,3414542,29441,229,669677,51,45,197105184,328738226,1601749
75,0.263001,idle,3.323044,858292,10375,3394500,29377,229,669677,51,45,197105184,328738226,1651500
76,0.266719,idle,3.765540,940959,12667,3671250,29313,229,669677,51,45,197105184,328738226,1706750
77,0.270121,idle,3.373831,900792,11792,3410417,29441,229,669677,51,45,197105184,328738226,1649999
78,0.273752,idle,3.611713,921875,12791,3562458,29377,229,669677,51,45,197105184,328738226,1836500
79,0.277220,idle,3.446457,900667,12375,3477125,29701,229,669677,51,45,197105184,328738226,1595750
80,0.281088,idle,3.742786,918708,14625,3734166,29441,230,669679,51,45,197105184,328738226,1813916
81,0.284593,idle,3.668296,992542,11667,3640167,29377,230,669679,51,45,197105184,328738226,1704791
82,0.288374,idle,3.823916,922541,13958,3796459,29313,230,669679,51,45,197105184,328738226,1655791
83,0.292348,idle,3.980166,884375,12000,4110292,29441,230,669679,51,45,197105184,328738226,1742125
84,0.295470,idle,3.075914,890792,10792,3079166,29377,230,669679,51,45,197105184,328738226,1645958
85,0.299355,idle,3.854960,891584,17458,3658667,29313,230,669679,51,45,197105184,328738226,1604291
86,0.303376,idle,4.054627,892125,13584,4236875,39819,230,669679,51,45,197105184,328738226,1592791
87,0.307698,idle,4.348207,936833,10125,4318209,37617,230,669679,51,45,197105184,328738226,1663750
88,0.310754,idle,2.993247,875041,13500,3088416,29313,230,669679,51,45,197105184,328738226,1608208
89,0.314283,idle,3.509878,940125,15709,3328083,29441,230,669679,51,45,197105184,328738226,987791
90,0.317781,idle,3.529833,966625,10792,3495750,29377,230,669679,51,45,197105184,328738226,1855124
91,0.321529,idle,3.699249,927000,13125,3636541,29313,230,669679,51,45,197105184,328738226,2363208
92,0.325056,idle,3.605712,898542,12458,3693334,29441,230,669679,51,45,197105184,328738226,1748749
93,0.328239,idle,3.188329,893625,12250,3246375,29377,230,669679,51,45,197105184,328738226,1663333
94,0.332078,idle,3.665129,876667,10917,3425584,29313,230,669679,51,45,197105184,328738226,1689083
95,0.335573,idle,3.700000,1008041,17000,3877042,29441,230,669679,51,45,197105184,328738226,1586750
96,0.339094,idle,3.212961,872959,13625,3235042,29377,230,669679,51,45,197105184,328738226,1661375
97,0.342629,idle,3.796995,982875,24208,3704750,29313,230,669679,51,45,197105184,328738226,1885458
98,0.346294,idle,3.667170,901375,13791,3651125,29441,230,669679,51,45,197105184,328738226,1632958
99,0.350043,idle,3.730081,918958,12583,3735208,29377,230,669679,51,45,197105184,328738226,1923249
100,0.353468,idle,3.392333,924417,11333,3396000,29313,230,669679,51,45,197105184,328738226,1653249
101,0.356946,idle,3.510502,940292,14375,3464959,29441,230,669679,51,45,197105184,328738226,1821749
102,0.360386,idle,3.415250,920667,12458,3528000,29377,230,669679,51,45,197105184,328738226,1633625
103,0.363947,idle,3.589874,853459,10625,3496500,29313,230,669679,51,45,197105184,328738226,1884624
104,0.367419,idle,3.573831,927875,12375,3568833,29441,230,669679,51,45,197105184,328738226,1760500
105,0.370222,idle,2.789463,841083,11625,2983250,29377,230,669679,51,45,197105184,328738226,1665624
106,0.373814,idle,3.606165,853416,14458,3420292,29313,230,669679,51,45,197105184,328738226,1622624
107,0.377002,idle,3.144374,843208,11583,3125792,29441,230,669679,51,45,197105184,328738226,1674500
108,0.380501,idle,3.361501,882500,10958,3454167,29377,230,669679,51,45,197105184,328738226,1656624
109,0.383732,idle,3.311416,897417,10666,3349792,29313,230,669679,51,45,197105184,328738226,1739250
110,0.386924,idle,3.318707,910916,17250,3176458,29441,230,669679,51,45,197105184,328738226,1652666
111,0.390255,idle,3.114293,838667,10792,3148041,29377,230,669679,51,45,197105184,328738226,1599624
112,0.393590,idle,3.348916,912375,21208,3433000,29313,230,669679,51,45,197105184,328738226,1615875
113,0.397037,idle,3.601169,881375,17875,3471833,29829,230,669679,51,45,197105184,328738226,1640749
114,0.400398,idle,3.231044,870125,12375,3358292,29429,231,669681,51,45,197105184,328738226,1828125
115,0.403307,idle,3.055208,864000,12459,3080667,29313,231,669681,51,45,197105184,328738226,1642458
116,0.406710,idle,3.389619,856708,13000,3270125,29441,231,669681,51,45,197105184,328738226,1609708
117,0.409906,idle,3.098335,856459,10291,3020416,29377,231,669681,51,45,197105184,328738226,1619166
118,0.413457,idle,3.615292,920125,16208,3656375,29313,229,669677,51,45,197105184,328738226,1625833
119,0.416904,idle,3.453458,876125,13291,3468917,29441,229,669677,51,45,197105184,328738226,1650541
120,0.420478,idle,3.384666,897666,11750,3282250,29377,229,669677,51,45,197105184,328738226,1652833
